Products,Brand or Variety,Unit of Measure,Average Price,,Percentage Change Compared to Previous Fortnight Price
,,,Previous Fortnight (Q2 March 2018),Current Fortnight (Q1 April 2018),
Local Products,,,,,
Local Rice,,Marmite 6 pounds,199.4,209.8,5.2
Ground Corn,,Marmite 6 pounds,117.8,117.1,-0.6
Small Millet,,Marmite 6 pounds,215.7,227.0,5.2
Black Beans,,Marmite 6 pounds,398.3,408.1,2.5
Red Beans,,Marmite 6 pounds,426.5,413.4,-3.1
Pistachio,,Marmite 6 pounds,141.7,144.9,2.3
Congo Peas,,Marmite 6 pounds,269.9,268.3,-0.6
Imported Products,,,,,
Imported Rice,Bull,Marmite 6 pounds,189.1,199.4,5.5
Ground Corn,Alberto,Marmite 6 pounds,175.8,176.8,0.6
Wheat Flour,,Marmite 6 pounds,125.8,127.5,1.4
Pinto Beans,,Marmite 6 pounds,337.5,344.1,1.9
Cream Sugar,,Marmite 6 pounds,172.8,173.8,0.5
Spaghetti,Itala,Marmite 6 pounds,22.9,22.8,-0.1
Cooking Oil,Alberto,Gallon 3.78 liters,393.9,390.4,-0.9
White Sugar,,Marmite 6 pounds,207.0,207.4,0.2
