Products,Brand or Variety,Unit of Measure,Average Price,Previous Fortnight Q1 August 2018,Current Fortnight Q2 August 2018,Change Compared to Previous Fortnight Price
Local Products,,,,,,
Ground Corn,,6 lbs marmites,120.4,107,-11.13,
Small Millet Ground/Peeled,,6 lbs marmites,297.5,325.6,9.45,
Black Beans,,6 lbs marmites,292.7,282,-3.66,
Red Beans,,6 lbs marmites,378,365.5,-3.31,
Imported Products,,,,,,
Rice,Mega/Bull,6 lbs marmites,222.5,252.5,13.48,
Ground Corn,Gradoro,6 lbs marmites,146.5,150.4,2.66,
Wheat Flour,,6 lbs marmites,151,156,3.31,
Cream Sugar,,6 lbs marmites,196,194,-1.02,
Cooking Oil,Gourmet,3.78 liters Gallon,399,398.5,-0.13,
