Products,Brand or Variety,Units of Measure,Average Price Previous Fortnight (Q2 January 2018),Average Price Current Fortnight (Q1 February 2018),Percentage Change Compared to Previous Fortnight Price
Local Products,,,,,
Local Rice,6 lbs Marmite,185.3,181.0,-2.3,
Ground Corn,6 lbs Marmite,97.1,105.9,9.1,
Millet,6 lbs Marmite,220,188.3,-14.4,
Black Beans,6 lbs Marmite,373.9,392.6,5.0,
Red Beans,6 lbs Marmite,402.3,422.5,5.0,
Peanuts,6 lbs Marmite,130.0,134.8,3.7,
Pigeon Peas,6 lbs Marmite,261.4,272.4,4.2,
Imported Products,,,,,
Imported Rice,Bull,6 lbs Marmite,178.1,175.0,-1.8
Imported Corn,Alberto,6 lbs Marmite,169.8,169.3,-0.3
Wheat Flour,,6 lbs Marmite,123.8,125.0,1.0
Pinto Beans,,6 lbs Marmite,328.6,335.0,1.9
Cream Sugar,,6 lbs Marmite,176.6,171.9,-2.7
Spaghetti,Itala,6 lbs Marmite,22.1,22.2,0.2
Cooking Oil,Alberto,3.78 liters Gallon,389.3,387.5,-0.5
White Sugar,,6 lbs Marmite,218.7,211.2,-3.4
