Products,Brand or Variety,Unit of Measure,Average Price,,Percentage Change Compared to Previous Fortnight Price
Local Products,,,Previous Fortnight (Q2 December 2017),Current Fortnight (Q1 January 2018),
Local Rice,Marmite 6 pounds,,177.8,187.7,5.6
Ground Corn,Marmite 6 pounds,,100.1,99.8,-0.3
Petit Mil,Marmite 6 pounds,,201.4,194.5,-3.4
Black Beans,Marmite 6 pounds,,371.0,383.5,3.4
Red Beans,Marmite 6 pounds,,413.2,410.9,-0.5
Pistachio,Marmite 6 pounds,,129.1,128.9,-0.2
Congo Peas,Marmite 6 pounds,,255.4,241.0,-5.7
Imported Products,,,,,
Imported Rice,Bull,Marmite 6 pounds,174.1,177.8,2.2
Ground Corn,Alberto,Marmite 6 pounds,179.2,178.4,-0.5
Wheat Flour,,Marmite 6 pounds,121.9,125.0,2.6
Pinto Beans,,Marmite 6 pounds,328.6,323.2,-1.6
Cream Sugar,,Marmite 6 pounds,182.0,180.3,-0.9
Spaghetti,Itala,Marmite 6 pounds,22.0,22.1,0.5
Cooking Oil,Alberto,Gallon 3.78 liters,398.6,387.7,-2.7
White Sugar,,Marmite 6 pounds,218.8,214.2,-2.1
