Products,Brand or Variety,Units of Measure,Average Price Previous Fortnight Q2 June 2018,Average Price Current Fortnight Q1 July 2018,Change Compared to Previous Fortnight Price
Local Products,,,,,
Ground Corn,,6 lbs,111.2,128.7,15.74
Millet Ground/Pounded,,6 lbs,270,292,8.15
Black Beans,,6 lbs,295,286,-3.05
Red Beans,,6 lbs,388,365.5,-5.80
Imported Products,,,,,
Rice,Mega/Bull,6 lbs,206,225.8,9.61
Ground Corn,Gradoro,6 lbs,131.5,148.75,13.12
Wheat Flour,,6 lbs,143,150,4.90
Cream Sugar,,6 lbs,198,202,2.02
Cooking Oil,Gourmet,Gallon 3.78 liters,402,417,3.73
