Products,Brand or Variety,Units of Measure,Average Price,,Percentage Change Compared to Previous Fortnight,Fortnight (Q1 June 2018),Fortnight (Q2 June 2018)
Local Products,,,,,,,
Local Rice,Marmite 6 pounds,205.4,194.6,-5.3,,,
Ground Corn,Marmite 6 pounds,112.5,114.7,1.9,,,
Petit mil,Marmite 6 pounds,238.3,240.0,0.7,,,
Black Beans,Marmite 6 pounds,374.2,368.0,-1.6,,,
Red Beans,Marmite 6 pounds,430.0,431.7,0.4,,,
Pistachio,Marmite 6 pounds,128.3,134.3,4.7,,,
Congo Peas,Marmite 6 pounds,268.3,293.9,9.5,,,
Imported Products,,,,,,,
Imported Rice,Bull,Marmite 6 pounds,186.3,190.4,2.2,,
Ground Corn,Alberto,Marmite 6 pounds,151.7,153.3,1.1,,
Wheat Flour,,Marmite 6 pounds,142.5,142.5,0.0,,
Pinto Beans,,Marmite 6 pounds,343.1,342.5,-0.2,,
Cream Sugar,,Marmite 6 pounds,168.8,168.8,0.0,,
Spaghetti,Itala,Marmite 6 pounds,25.0,25.0,0.0,,
Cooking Oil,Alberto,Gallon 3.78 liters,413.8,411.3,-0.6,,
White Sugar,,Marmite 6 pounds,215.0,211.3,-1.7,,
