Products,Cap Haitien,Borgne,Dondon,St. Raphael,Ranquitte,Limonade,Bahon,Limbe,Price max,Price min,Price median
Local Rice-6lbs,200.0,150,200,198.3,ND,240.0,ND,146.5,240.0,150.0,199.0
Ground Corn Local-6lbs,90,150,134.6,ND,105.0,105.0,112.5,150.0,90.0,112.0,
Imported Rice-6lbs,Bul,180.0,210,172.5,210.0,180.0,160.0,210.0,160.0,180.0,
Ground Corn Imported-Albert,361,150,157.5,122.5,125,135,ND,361.0,122.5,142.0,
Wheat Flour-6lbs,180,100.0,120,110,120.0,100.0,ND,180.0,100.0,120.0,
Cooking Oil-1gal,Albert,400.0,450,400,350.0,350.0,375.0,380.0,460.0,350.0,400.0
Sugar Red-6lbs,180.0,180,202.5,165.0,175.0,150.0,202.5,150.0,202.5,150.0,180.0
Small Millet or Sorghum -6lbs,240.0,ND,240,124.2,125.0,ND,240.5,240.0,125.0,240.0,
Black Beans-6lbs,354.0,450,437.5,386.2,332.0,360.0,460.0,354.0,460.0,332.0,386.0
Red Beans-6lbs,454.0,400,437.5,ND,ND,360.0,400.0,450.0,454.0,360.0,418.0
Pinto Beans-6lbs,Pinto,300,360,300.0,300.0,330.0,375.0,ND,375.0,300.0,330.0
Spaghetti-350 gr,Itala,ND,25,20,25.0,20.0,20.0,25.0,25.0,20.0,24.0
Pistachio (in shell)-,ND,150,75,73.4,ND,140.0,ND,140.0,150.0,73.0,134.0
Pigeon Peas-6lbs,ND,150,300,298.7,230.0,300,375,275,375.0,230.4,298.0
