Products,Brand or Variety,Units of Measure,Average Price,Previous Fortnight (Q1 March 2018),Current Fortnight (Q2 March 2018),Percentage Change Compared to Previous Fortnight
Local Products,,,,,,
Rice,,Marmite 6 pounds,192.2,199.4,3.7,
Ground Corn,,Marmite 6 pounds,116.7,117.8,0.9,
Petit Mil,,Marmite 6 pounds,195.7,215.7,10.2,
Black Beans,,Marmite 6 pounds,386.3,398.3,3.1,
Red Beans,,Marmite 6 pounds,416.9,426.5,2.3,
Pistachio,,Marmite 6 pounds,142.6,141.7,-0.4,
Congo Peas,,Marmite 6 pounds,275.6,269.9,-2.1,
Imported Products,,,,,,
Rice,Bull,Marmite 6 pounds,181.6,189.1,4.2,
Ground Corn,Alberto,Marmite 6 pounds,175.2,175.8,0.4,
Wheat Flour,,Marmite 6 pounds,128.1,125.8,-1.8,
Pinto Beans,,Marmite 6 pounds,336.4,337.5,0.3,
Cream Sugar,,Marmite 6 pounds,172.8,172.8,0.0,
Spaghetti,Itala,Marmite 6 pounds,22.5,22.9,1.4,
Cooking Oil,Alberto,Gallon 3.78 liters,395.6,393.9,-0.4,
White Sugar,,Marmite 6 pounds,204.5,207.0,1.2,
