Products,Brand or Variety,Unit of Measure,Average Price - Previous Fortnight (Q1 May 2018),Average Price - Current Fortnight (Q2 May 2018),Percentage Change Compared to Previous Fortnight
Local Products,,,,,
Local Rice,,Marmite 6 pounds,195.0,192.3,-1.4
Ground Corn,,Marmite 6 pounds,113.3,117.9,4.0
Petit mil,,Marmite 6 pounds,240.0,219.1,-8.7
Black Beans,,Marmite 6 pounds,395.3,382.8,-3.2
Red Beans,,Marmite 6 pounds,436.7,413.8,-5.2
Pistachio,,Marmite 6 pounds,131.9,134.6,2.0
Pigeon Peas,,Marmite 6 pounds,288.6,237.6,-17.7
Imported Products,,,,,
Imported Rice,Bull,Marmite 6 pounds,188.1,197.5,5.0
Ground Corn,Alberto,Marmite 6 pounds,155.6,150.5,-3.2
Wheat Flour,,Marmite 6 pounds,142.5,129.2,-9.4
Pinto Beans,,Marmite 6 pounds,352.5,341.7,-3.1
Cream Sugar,,Marmite 6 pounds,168.8,170.4,1.0
Spaghetti,Itala,Marmite 6 pounds,24.8,25.3,2.4
Cooking Oil,Alberto,Gallon 3.78 liters,409.4,410.5,0.3
White Sugar,,Marmite 6 pounds,207.5,211.0,1.7
