Products,Brand or Variety,Unit of Measure,Average Price,,Percentage Change Compared to Previous Fortnight Price
Local Products,,,Fortnight Previous (Q2 September 2018),Fortnight Current (Q1 October 2018),
Local Rice,6-pound Marmite,,203.3,222.8,9.6
Ground Corn,6-pound Marmite,,126.7,129.2,2.0
Petit Mil,6-pound Marmite,,238.3,303.8,27.4
Black Beans,6-pound Marmite,,343.5,336.2,-2.1
Red Beans,6-pound Marmite,,382.5,369.4,-3.4
Pistachio,6-pound Marmite,,141.6,143.3,1.2
Congo Peas,6-pound Marmite,,244.6,238.8,-2.4
Imported Products,,,,,
Imported Rice,Bull,6-pound Marmite,207.9,205.8,-1.0
Ground Corn,Alberto,6-pound Marmite,154.2,154.2,0.0
Wheat Flour,,6-pound Marmite,135.8,135.1,-0.5
Pinto Beans,,6-pound Marmite,310.0,314.7,1.5
Cream Sugar,,6-pound Marmite,163.3,160.8,-1.5
Spaghetti,Itala,6-pound Marmite,25.0,25.0,0.0
Cooking Oil,Alberto,Gallon 3.78 liters,426.7,428.8,0.5
White Sugar,,6-pound Marmite,216.3,223.3,3.3
