Products,Brand or Variety,Unit of Measure,Average Price,Previous Fortnight Q2 July 2018,Current Fortnight Q1 August 2018,Change Compared to Previous Fortnight
Local Products,,,,,,
Ground Corn,,6 lbs pots,126,120.4,-4.44,
Small Millet Ground/Pounded,,6 lbs pots,298.75,297.5,-0.42,
Black Beans,,6 lbs pots,303,292.7,-3.40,
Red Beans,,6 lbs pots,390,378,-3.08,
Imported Products,,,,,,
Rice,Mega/Bull,6 lbs pots,222,222.5,0.23,
Ground Corn,Gradoro,6 lbs pots,153.5,146.5,-4.56,
Wheat Flour,,6 lbs pots,146,151,3.42,
Cream Sugar,,6 lbs pots,200,196,-2.00,
Cooking Oil,Gourmet,Gallon 3.78 liters,420.7,399,-5.16,
