Products,Brand or Variety,Units of Measure,Average Price,Fortnight Previous (Q1 December 2018),Fortnight Current (Q2 December 2018),Percentage Change Compared to Previous Fortnight
Local Products,,,,,,
Local Rice,,Marmite 6 pounds,243.6,243.3,-0.1,
Ground Corn,,Marmite 6 pounds,127.5,127.3,-0.2,
Millet,,Marmite 6 pounds,300.6,283.1,-5.8,
Black Beans,,Marmite 6 pounds,316.5,326.4,3.1,
Red Beans,,Marmite 6 pounds,411.5,420,2.1,
Pistachio,,Marmite 6 pounds,184.5,185.5,0.5,
Congo Peas,,Marmite 6 pounds,241.4,246.3,2.0,
Imported Products,,,,,,
Imported Rice,Bull,Marmite 6 pounds,209.8,209.2,-0.3,
Ground Corn,Alberto,Marmite 6 pounds,160.9,160.7,-0.1,
Wheat Flour,,Marmite 6 pounds,142.5,147.1,3.2,
Pinto Beans,,Marmite 6 pounds,315.0,313.5,-0.5,
Cream Sugar,,Marmite 6 pounds,163.0,162.5,-0.3,
Spaghetti,Itala,Marmite 6 pounds,25.0,25.2,0.8,
Cooking Oil,Alberto,Gallon 3.78 liters,434.6,426.7,-1.8,
White Sugar,,Marmite 6 pounds,228.8,225.0,-1.6,
