Products,Brand or Variety,Unit of Measure,Average Price,Previous Fortnight (Q1 February 2018),Current Fortnight (Q2 February 2018),Percentage Change Compared to Previous Fortnight
Local Products,,,,,,
Local Rice,,6 lbs Marmite,181.0,182.0,0.5,
Ground Corn,,6 lbs Marmite,105.9,103.7,-2.1,
Petit Mil,,6 lbs Marmite,188.3,194.2,3.1,
Black Beans,,6 lbs Marmite,392.6,396.3,0.9,
Red Beans,,6 lbs Marmite,422.5,414.3,-2.0,
Pistachio,,6 lbs Marmite,134.8,137.0,1.6,
Pigeon Peas,,6 lbs Marmite,272.4,275.8,1.2,
Imported Products,,,,,,
Imported Rice,Bull,6 lbs Marmite,175.0,178.1,1.8,
Ground Corn,Alberto,6 lbs Marmite,169.3,169.3,0.0,
Wheat Flour,,6 lbs Marmite,125.0,125.0,0.0,
Red Beans,Pinto,6 lbs Marmite,335.0,343.6,2.6,
Cream Sugar,,6 lbs Marmite,171.9,170.9,-0.5,
Spaghetti,Itala,6 lbs Marmite,22.2,22.5,1.6,
Cooking Oil,Alberto,3.78 liters Gallon,387.5,389.6,0.6,
White Sugar,,6 lbs Marmite,211.2,208.7,-1.2,
