Products,Brand or Variety,Unit of Measure,Average Price Previous Fortnight (Q1 January 2018),Average Price Current Fortnight (Q2 January 2018),Percentage Change Compared to Previous Fortnight Price
Local Products,,,,,
Local Rice,,Marmite 6 pounds,187.7,185.3,-1.3
Ground Corn,,Marmite 6 pounds,99.8,97.1,-2.7
Millet,,Marmite 6 pounds,194.5,220,13.1
Black Beans,,Marmite 6 pounds,383.5,373.9,-2.5
Red Beans,,Marmite 6 pounds,410.9,402.3,-2.1
Pistachio,,Marmite 6 pounds,128.9,130.0,0.9
Pigeon Peas,,Marmite 6 pounds,241.0,261.4,8.5
Imported Products,,,,,
Imported Rice,Bull,Marmite 6 pounds,177.8,178.1,0.2
Ground Corn,Alberto,Marmite 6 pounds,178.4,169.8,-4.8
Wheat Flour,,Marmite 6 pounds,125.0,123.8,-1.0
Pinto Beans,,Marmite 6 pounds,323.2,328.6,1.7
Cream Sugar,,Marmite 6 pounds,180.3,176.6,-2.1
Spaghetti,Itala,Marmite 6 pounds,22.1,22.1,0.0
Cooking Oil,Alberto,Gallon 3.78 liters,387.7,389.3,0.4
White Sugar,,Marmite 6 pounds,214.2,218.7,2.1
