Products,Brand or Variety,Unit of Measure,Average Price,,Percentage Change Compared to Previous Fortnight Price
Local Products,,,Previous Fortnight (Q2 May 2018),Current Fortnight (Q1 June 2018),
Local Rice,Marmite 6 pounds,192.3,205.4,6.8,
Ground Corn,Marmite 6 pounds,117.9,112.5,-4.6,
Millet,Marmite 6 pounds,219.1,238.3,8.8,
Black Beans,Marmite 6 pounds,382.8,374.2,-2.3,
Red Beans,Marmite 6 pounds,413.8,430.0,3.9,
Pistachio,Marmite 6 pounds,134.6,128.3,-4.6,
Congo Peas,Marmite 6 pounds,237.6,268.3,12.9,
Imported Products,,,,,
Imported Rice,Bull,Marmite 6 pounds,197.5,186.3,-5.7
Ground Corn,Alberto,Marmite 6 pounds,150.5,151.7,0.8
Wheat Flour,Marmite 6 pounds,129.2,142.5,10.3,
Pinto Beans,Marmite 6 pounds,341.7,343.1,0.4,
Cream Sugar,Marmite 6 pounds,170.4,168.4,-1.0,
Spaghetti,Itala,Marmite 6 pounds,25.3,25.0,-1.3
Cooking Oil,Alberto,Gallon 3.78 liters,410.5,413.8,0.8
White Sugar,Marmite 6 pounds,211.0,215.0,1.9,
