Products,Brand or Variety,Unit of Measure,Average Price - Previous Fortnight (Q2 February 2018),Average Price - Current Fortnight (Q1 March 2018),Percentage Change Compared to Previous Fortnight
Local Products,,,,,
Local Rice,Marmite 6 pounds,182.0,192.2,5.6,
Ground Corn,Marmite 6 pounds,103.7,116.7,12.6,
Petit mil,Marmite 6 pounds,194.2,195.7,0.8,
Black Beans,Marmite 6 pounds,396.3,386.3,-2.5,
Red Beans,Marmite 6 pounds,414.3,416.9,0.6,
Pistachio,Marmite 6 pounds,137.0,142.2,3.8,
Congo Peas,Marmite 6 pounds,275.8,275.6,-0.1,
Imported Products,,,,,
Imported Rice,Bull,Marmite 6 pounds,178.1,181.6,1.9
Ground Corn,Alberto,Marmite 6 pounds,169.3,175.2,3.4
Wheat Flour,,Marmite 6 pounds,125.0,128.1,2.5
Pinto Beans,,Marmite 6 pounds,343.6,336.4,-2.1
Cream Sugar,,Marmite 6 pounds,170.9,172.8,1.1
Spaghetti,Itala,Marmite 6 pounds,22.5,22.5,0.2
Cooking Oil,Alberto,Gallon 3.78 liters,389.6,395.6,1.5
White Sugar,,Marmite 6 pounds,208.7,204.5,-2.0
