Products,Brand or Variety,Units of Measure,Average Price - Previous Fortnight (Q2 April 2018),Average Price - Current Fortnight (Q1 May 2018),Percentage Change Compared to Previous Fortnight Price
Local Products,,,,,
Local Rice,,Marmite 6 pounds,196.5,195.0,-0.8
Ground Corn,,Marmite 6 pounds,120.6,113.3,-6.0
Petit mil,,Marmite 6 pounds,213.1,240.0,12.6
Black Beans,,Marmite 6 pounds,394.6,395.3,0.2
Red Beans,,Marmite 6 pounds,427.4,436.7,2.2
Pistachio,,Marmite 6 pounds,130.4,131.9,1.1
Congo Peas,,Marmite 6 pounds,242.5,288.6,19.0
Imported Products,,,,,
Imported Rice,Bull,Marmite 6 pounds,199.6,188.1,-5.7
Ground Corn,Alberto,Marmite 6 pounds,183.2,155.6,-15.1
Wheat Flour,,Marmite 6 pounds,127.9,142.5,11.5
Pinto Beans,,Marmite 6 pounds,343.2,352.5,2.7
Cream Sugar,,Marmite 6 pounds,171.3,168.8,-1.5
Spaghetti,Itala,Marmite 6 pounds,24.5,24.8,1.0
Cooking Oil,Alberto,Gallon 3.78 liters,428.6,409.4,-4.5
White Sugar,,Marmite 6 pounds,205.5,207.5,1.0
