Products,Brand or Variety,Unit of Measure,Average Price,,Percentage Change Compared to Previous Fortnight Price
Local Products,,,,,
Local Rice,,6-pound Marmite,242.6,246.2,1.5
Ground Corn,,6-pound Marmite,128.3,131.3,2.3
Small Millet,,6-pound Marmite,296.7,296.9,0.1
Black Beans,,6-pound Marmite,345.7,325.8,-5.7
Red Beans,,6-pound Marmite,412.5,412.5,0.0
Pistachio,,6-pound Marmite,175.5,183.8,4.7
Congo Peas,,6-pound Marmite,241.8,239.1,-1.1
Imported Products,,,,,
Imported Rice,Bull,6-pound Marmite,203.3,207.1,1.8
Ground Corn,Alberto,6-pound Marmite,150.0,155.7,3.8
Wheat Flour,,6-pound Marmite,133.4,136.4,2.3
Pinto Beans,,6-pound Marmite,299.5,302.5,1.0
Cream Sugar,,6-pound Marmite,157.9,157.9,0.0
Spaghetti,Itala,6-pound Marmite,24.8,25.0,0.8
Cooking Oil,Alberto,3.78-liter Gallon,427.5,432.5,1.2
White Sugar,,6-pound Marmite,216.5,207.5,-4.1
