Products,Brand or Variety,Units of Measure,Average Price,,Percentage Change Compared to Previous Fortnight Price
Local Products,,,Previous Fortnight (Q1 November 2018),Current Fortnight (Q2 November 2018),
Local Rice,,Marmite 6 pounds,246.2,271.1,10.1
Ground Corn,,Marmite 6 pounds,131.3,127.5,-2.9
Small Millet,,Marmite 6 pounds,296.9,298.2,0.4
Black Beans,,Marmite 6 pounds,325.8,316.7,-2.8
Red Beans,,Marmite 6 pounds,412.5,411.5,-0.3
Pistachio,,Marmite 6 pounds,183.8,184.3,0.3
Congo Peas,,Marmite 6 pounds,239.1,246.3,3.0
Imported Products,,,,,
Imported Rice,Bull,Marmite 6 pounds,207.1,210.0,1.4
Ground Corn,Alberto,Marmite 6 pounds,155.7,164.7,5.8
Wheat Flour,,Marmite 6 pounds,136.4,146.7,7.5
Pinto Beans,,Marmite 6 pounds,302.5,315.5,4.3
Cream Sugar,,Marmite 6 pounds,157.9,160.8,1.8
Spaghetti,Itala,Marmite 6 pounds,25.0,25.0,0.0
Cooking Oil,Alberto,Gallon 3.78 liters,432.5,441.5,2.1
White Sugar,,Marmite 6 pounds,207.5,215.0,3.6
